NO,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声
88,0,0,0,0,治[治国],0,0,禺,0,0,闽,0,0,0,0,婵,了[明了],0,0,0,0,洋,鹦,0,0,阄,0,0,0,0,0,0,0,氏,0,0,虏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,莉,0,0,迕,蟪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,菔,0,0,0,0,0,0,0,0,簿,拆,0,0,0,0,0,0
89,0,0,0,0,骊,0,0,拘,0,0,纫,0,0,0,0,躔,魈,0,0,0,0,徉,黥,0,0,瘤,0,0,0,0,0,0,0,玺,0,0,孥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,腻,0,0,妇,剃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,孰,0,0,0,0,0,0,0,0,柞,喀,0,0,0,0,0,0
90,0,0,0,0,綦,0,0,嵎,0,0,湮,0,0,0,0,颛,峣,0,0,0,0,佯,蘅,0,0,硫,0,0,0,0,0,0,0,巳[辰巳],0,0,诂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,秘,0,0,负,娣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,塾,0,0,0,0,0,0,0,0,漠,蚱,0,0,0,0,0,0
91,0,0,0,0,怡,0,0,蹰,0,0,肫,0,0,0,0,燃,描,0,0,0,0,粱,澎,0,0,浏,0,0,0,0,0,0,0,滓,0,0,瞽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,比[近也],0,0,阜,说[游说],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,矗,0,0,0,0,0,0,0,0,摸,舴,0,0,0,0,0,0
92,0,0,0,0,尼,0,0,桴,0,0,逡,0,0,0,0,涟,钊,0,0,0,0,量,膨,0,0,庥,0,0,0,0,0,0,0,苡,0,0,羖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,鸷,0,0,副,赘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,竺,0,0,0,0,0,0,0,0,酢,剧,0,0,0,0,0,0
93,0,0,0,0,漪,0,0,俘,0,0,菌,0,0,0,0,琏,轺,0,0,0,0,羊,棚,0,0,湫,0,0,0,0,0,0,0,倚,0,0,祜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,毖,0,0,富[宥韵同],憩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,曝,0,0,0,0,0,0,0,0,怍,檗,0,0,0,0,0,0
94,0,0,0,0,牺,0,0,臾,0,0,臻,0,0,0,0,便[安也],桡,0,0,0,0,伤,浜,0,0,泅,0,0,0,0,0,0,0,匕,0,0,沪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,啻,0,0,醋,鳜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,鞠,0,0,0,0,0,0,0,0,涸,擘,0,0,0,0,0,0
95,0,0,0,0,饴,0,0,萸,0,0,豳,0,0,0,0,翩,铫,0,0,0,0,汤,坪,0,0,酋,0,0,0,0,0,0,0,迤,0,0,雇,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,示,0,0,措,彘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,嗾,0,0,0,0,0,0,0,0,郝,栅,0,0,0,0,0,0
96,0,0,0,0,而,0,0,吁,0,0,0,0,0,0,0,骈,鹞,0,0,0,0,鲂,苹,0,0,瓯,0,0,0,0,0,0,0,逦,0,0,仵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,嗜,0,0,0,呓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,谡,0,0,0,0,0,0,0,0,垩,啧,0,0,0,0,0,0
97,0,0,0,0,鸱,0,0,滹,0,0,0,0,0,0,0,癫,翘,0,0,0,0,樟,钲,0,0,啁,0,0,0,0,0,0,0,旖,0,0,缶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,饲,0,0,0,谜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,簏,0,0,0,0,0,0,0,0,谔,帻,0,0,0,0,0,0
98,0,0,0,0,推[灰韵同],0,0,瓠,0,0,0,0,0,0,0,阗,枵,0,0,0,0,彰,伧,0,0,飕,0,0,0,0,0,0,0,旎,0,0,母,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,伺,0,0,0,挤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,国[职韵同],0,0,0,0,0,0,0,0,鳄,箦,0,0,0,0,0,0
99,0,0,0,0,陲,0,0,糊,0,0,0,0,0,0,0,钿[霰韵同],侨,0,0,0,0,漳,檠,0,0,鍪,0,0,0,0,0,0,0,舣,0,0,某,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,遗[馈遗],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,副,0,0,0,0,0,0,0,0,噩,扼,0,0,0,0,0,0
100,0,0,0,0,魑,0,0,醐,0,0,0,0,0,0,0,沿,窑,0,0,0,0,璋,嘤,0,0,篌,0,0,0,0,0,0,0,蚍,0,0,亩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,薏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,锷,划,0,0,0,0,0,0
101,0,0,0,0,锤,0,0,呼,0,0,0,0,0,0,0,蜒,礁,0,0,0,0,猖,轰,0,0,抠,0,0,0,0,0,0,0,秕,0,0,蛊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,祟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,颚,蜴,0,0,0,0,0,0
102,0,0,0,0,缡,0,0,沽,0,0,0,0,0,0,0,胭,0,0,0,0,0,商,铮,0,0,篝,0,0,0,0,0,0,0,芷,0,0,琥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,值,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,缴,辟,0,0,0,0,0,0
103,0,0,0,0,璃,0,0,酤,0,0,0,0,0,0,0,芊,0,0,0,0,0,防,狰,0,0,诌,0,0,0,0,0,0,0,拟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,惴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,扩,帼,0,0,0,0,0,0
104,0,0,0,0,羸,0,0,泸,0,0,0,0,0,0,0,鳊,0,0,0,0,0,筐,宁,0,0,骰,0,0,0,0,0,0,0,你,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,屣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,椁,蝈,0,0,0,0,0,0
105,0,0,0,0,帔,0,0,舻,0,0,0,0,0,0,0,胼,0,0,0,0,0,煌,狞,0,0,偻,0,0,0,0,0,0,0,企,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,眦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,陌[陌韵同],刺,0,0,0,0,0,0
106,0,0,0,0,蘼,0,0,轳,0,0,0,0,0,0,0,滇,0,0,0,0,0,隍,瞪,0,0,"沤[水泡,名词]",0,0,0,0,0,0,0,诔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,詈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,嵴,0,0,0,0,0,0
107,0,0,0,0,芪,0,0,鸬,0,0,0,0,0,0,0,佃,0,0,0,0,0,凰,绷,0,0,蝼,0,0,0,0,0,0,0,捶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,企,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,汐,0,0,0,0,0,0
108,0,0,0,0,畸,0,0,驽,0,0,0,0,0,0,0,畋,0,0,0,0,0,蝗,怦,0,0,髅,0,0,0,0,0,0,0,屣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,渍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,藉,0,0,0,0,0,0
109,0,0,0,0,羲,0,0,匍,0,0,0,0,0,0,0,咽,0,0,0,0,0,惶,璎,0,0,搂,0,0,0,0,0,0,0,棰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,譬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,螫,0,0,0,0,0,0
110,0,0,0,0,曦,0,0,葡,0,0,0,0,0,0,0,湮,0,0,0,0,0,璜,砰,0,0,欧,0,0,0,0,0,0,0,揣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,跛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,蓦,0,0,0,0,0,0
111,0,0,0,0,欹,0,0,铺[铺盖],0,0,0,0,0,0,0,狷,0,0,0,0,0,廊,氓,0,0,彪,0,0,0,0,0,0,0,豸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,挚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,摭,0,0,0,0,0,0
112,0,0,0,0,猗,0,0,菟,0,0,0,0,0,0,0,蠲,0,0,0,0,0,浪,鲭,0,0,掊,0,0,0,0,0,0,0,祉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,燧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,襞,0,0,0,0,0,0
113,0,0,0,0,崎,0,0,诬,0,0,0,0,0,0,0,蔫,0,0,0,0,0,当,侦,0,0,虬,0,0,0,0,0,0,0,恃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,隧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,虢,0,0,0,0,0,0
114,0,0,0,0,崖,0,0,呜,0,0,0,0,0,0,0,骞,0,0,0,0,0,裆,柽,0,0,揉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,悴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,哑[笑声],0,0,0,0,0,0
115,0,0,0,0,筛,0,0,迂,0,0,0,0,0,0,0,膻,0,0,0,0,0,珰,蛏,0,0,蹂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,尿,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,绎,0,0,0,0,0,0
116,0,0,0,0,狮,0,0,盂,0,0,0,0,0,0,0,扇,0,0,0,0,0,沧,茔,0,0,抔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,稚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,射[音亦],0,0,0,0,0,0
117,0,0,0,0,蛳,0,0,竽,0,0,0,0,0,0,0,棉,0,0,0,0,0,纲,赪,0,0,"不[与有韵""否""通]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,雉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,绥,0,0,趺,0,0,0,0,0,0,0,拴,0,0,0,0,0,亢,茕,0,0,瓿,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,莅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,虽,0,0,毋,0,0,0,0,0,0,0,荃,0,0,0,0,0,吭,赓,0,0,缪[绸缪],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,悸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,粢,0,0,孺,0,0,0,0,0,0,0,籼,0,0,0,0,0,潢,黉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,肄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,瓷,0,0,酴,0,0,0,0,0,0,0,砖,0,0,0,0,0,钢,瞠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,泌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,嫠,0,0,鸪,0,0,0,0,0,0,0,挛,0,0,0,0,0,丧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,识[记也],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,痍,0,0,骷,0,0,0,0,0,0,0,儇,0,0,0,0,0,盲,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,侍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,惟,0,0,刳,0,0,0,0,0,0,0,璇,0,0,0,0,0,簧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,踬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,唯,0,0,蛄,0,0,0,0,0,0,0,卷[曲也],0,0,0,0,0,忙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,为[因为],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,机,0,0,晡,0,0,0,0,0,0,0,扁[扁舟],0,0,0,0,0,茫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,耆,0,0,蒱,0,0,0,0,0,0,0,单[单于],0,0,0,0,0,傍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,逵,0,0,葫,0,0,0,0,0,0,0,溅[溅溅],0,0,0,0,0,汪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,岿,0,0,呱,0,0,0,0,0,0,0,犍,0,0,0,0,0,臧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,丕,0,0,蝴,0,0,0,0,0,0,0,0,0,0,0,0,0,琅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,毗,0,0,劬,0,0,0,0,0,0,0,0,0,0,0,0,0,当,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,枇,0,0,殂,0,0,0,0,0,0,0,0,0,0,0,0,0,庠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,貔,0,0,猢,0,0,0,0,0,0,0,0,0,0,0,0,0,裳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,楣,0,0,郛,0,0,0,0,0,0,0,0,0,0,0,0,0,昂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,霉,0,0,孚,0,0,0,0,0,0,0,0,0,0,0,0,0,障,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,辎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,糖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
